City Name,Customer ID,Customer Name,Customer Segment,Sum of Discount,First Name,Manager Performance Class,Year,Quarter,Month,Day,Count of Order ID,Product Category,Product Container,Product Name,Product Sub-Category,Sum of Profit,Region Code,Sum of Sales,Year,Quarter,Month,Day,Ship Mode,Sum of Shipping Cost,State,Sum of Unit Price,Count of Zip Code
East Meadow,1312,Arlene Weber,Corporate,0.02,Erin,Low,2011,Qtr 3,September,24,1,Office Supplies,Wrap Bag,*Staples* Letter Opener,"Scissors, Rulers and Trimmers",-115.38,EAST,29.91,2011,Qtr 3,September,26,Regular Air,5,New York,2.18,1
East Meadow,1312,Arlene Weber,Corporate,0.04,Erin,Low,2011,Qtr 3,September,24,1,Office Supplies,Wrap Bag,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Paper,11.06,EAST,32.97,2011,Qtr 3,September,27,Regular Air,1.79,New York,10.31,1
East Meadow,1312,Arlene Weber,Corporate,0.09,Erin,Low,2012,Qtr 2,June,15,1,Office Supplies,Wrap Bag,Prang Colored Pencils,Pens & Art Supplies,27.358499999999996,EAST,39.65,2012,Qtr 2,June,17,Regular Air,0.81,New York,2.94,1
East Meadow,1312,Arlene Weber,Corporate,0.03,Erin,Low,2013,Qtr 1,February,7,1,Technology,Small Box,i1000,Telephones and Communication,284.694,EAST,412.6,2013,Qtr 1,February,7,Regular Air,5.99,New York,65.99,1
East Meadow,1312,Arlene Weber,Corporate,0.03,Erin,Low,2013,Qtr 2,June,26,1,Office Supplies,Small Box,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Binders and Binder Accessories,2.7438000000000002,EAST,26.66,2013,Qtr 2,June,28,Regular Air,2.99,New York,8.69,1
East Meadow,1496,Milton Phillips,Home Office,0.03,Erin,Low,2011,Qtr 4,December,17,1,Office Supplies,Wrap Bag,"Super Bands, 12/Pack",Rubber Bands,-53.5,EAST,41.27,2011,Qtr 4,December,22,Regular Air,2.58,New York,1.86,1
East Meadow,1496,Milton Phillips,Home Office,0.05,Erin,Low,2011,Qtr 4,December,17,1,Technology,Small Box,3285,Telephones and Communication,2458.4285999999997,EAST,3562.94,2011,Qtr 4,December,22,Regular Air,5.99,New York,205.99,1
East Orange,2296,Alice Marks,Corporate,0.04,Erin,Low,2012,Qtr 3,September,22,1,Office Supplies,Small Box,Xerox 1880,Paper,57.89,EAST,831.22,2012,Qtr 3,September,24,Regular Air,19.99,New Jersey,35.44,1
East Orange,3019,Edwin Lang,Corporate,0.02,Erin,Low,2012,Qtr 4,October,10,1,Office Supplies,Small Box,"Decoflex Hanging Personal Folder File, Blue",Storage & Organization,-89.964,EAST,112.88,2012,Qtr 4,October,12,Regular Air,10.68,New Jersey,15.42,1
Edison,1098,Gregory Barefoot,Home Office,0.05,Erin,Low,2013,Qtr 3,September,9,1,Furniture,Large Box,"3M Polarizing Task Lamp with Clamp Arm, Light Gray",Office Furnishings,914.8248,EAST,1458.58,2013,Qtr 3,September,12,Regular Air,24.49,New Jersey,136.98,1
Edison,1759,Erika Hardison,Consumer,0.02,Erin,Low,2012,Qtr 2,May,8,1,Technology,Small Pack,Accessory29,Telephones and Communication,-42.229,EAST,164.05,2012,Qtr 2,May,9,Regular Air,1.25,New Jersey,20.99,1
Edison,2515,Claudia Upchurch,Home Office,0,Erin,Low,2012,Qtr 3,August,26,1,Office Supplies,Wrap Bag,*Staples* Highlighting Markers,Pens & Art Supplies,-0.468,EAST,9.96,2012,Qtr 3,August,27,Regular Air,0.71,New Jersey,4.84,1
El Cajon,2827,Edith McDaniel,Corporate,0.08,William,Low,2011,Qtr 2,May,24,1,Technology,Small Pack,TDK 4.7GB DVD+RW,Computer Peripherals,-29.71,WEST,27.57,2011,Qtr 2,May,26,Regular Air,1.99,California,14.48,1
El Cajon,2827,Edith McDaniel,Corporate,0,William,Low,2013,Qtr 3,September,1,1,Technology,Small Pack,"Memorex 4.7GB DVD-RAM, 3/Pack",Computer Peripherals,342.08129999999994,WEST,495.77,2013,Qtr 3,September,3,Regular Air,1.99,California,31.78,1
El Centro,2828,Monica Howard,Corporate,0.05,William,Low,2010,Qtr 1,February,19,1,Office Supplies,Small Box,X-Rack™ File for Hanging Folders,Storage & Organization,-35.26,WEST,90.46,2010,Qtr 1,February,21,Regular Air,5.03,California,11.29,1
El Centro,2828,Monica Howard,Corporate,0.07,William,Low,2010,Qtr 4,December,1,1,Technology,Small Pack,"80 Minute CD-R Spindle, 100/Pack - Staples",Computer Peripherals,322.25069999999994,WEST,467.03,2010,Qtr 4,December,2,Regular Air,1.99,California,39.48,1
El Centro,2828,Monica Howard,Corporate,0.05,William,Low,2012,Qtr 1,March,7,1,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,-182.87,WEST,114.38,2012,Qtr 1,March,12,Regular Air,8.99,California,11.66,1
El Centro,2930,Oscar Hale,Small Business,0.09,William,Low,2011,Qtr 2,May,29,1,Office Supplies,Small Box,Xerox 1899,Paper,-58.25,WEST,59.74,2011,Qtr 2,June,5,Regular Air,4.96,California,5.78,1
El Dorado Hills,2931,Faye Hanna,Corporate,0.03,William,Low,2012,Qtr 4,November,28,1,Furniture,Small Box,"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",Office Furnishings,2.596000000000002,WEST,39.32,2012,Qtr 4,November,29,Express Air,6.22,California,9.65,1
El Dorado Hills,2931,Faye Hanna,Corporate,0.08,William,Low,2012,Qtr 4,November,28,1,Office Supplies,Wrap Bag,Newell 314,Pens & Art Supplies,107.91,WEST,217.39,2012,Qtr 4,November,30,Regular Air,0.7,California,5.58,1
El Dorado Hills,2931,Faye Hanna,Small Business,0.1,William,Low,2010,Qtr 3,August,30,1,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,69.7672,WEST,135.77,2010,Qtr 3,August,30,Regular Air,2.36,California,11.55,1
El Dorado Hills,2931,Faye Hanna,Small Business,0.07,William,Low,2011,Qtr 3,July,3,1,Office Supplies,Wrap Bag,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Pens & Art Supplies,104.37,WEST,253.89,2011,Qtr 3,July,6,Regular Air,13.89,California,36.55,1
El Dorado Hills,2931,Faye Hanna,Small Business,0.06,William,Low,2011,Qtr 3,July,3,1,Technology,Jumbo Box,Hewlett-Packard 2600DN Business Color Inkjet Printer,Office Machines,-34.3041,WEST,1270.75,2011,Qtr 3,July,5,Delivery Truck,56.14,California,119.99,1
El Dorado Hills,2931,Faye Hanna,Small Business,0.07,William,Low,2012,Qtr 4,October,25,1,Technology,Small Box,StarTAC 7760,Telephones and Communication,248.95476,WEST,732.4,2012,Qtr 4,October,26,Regular Air,3.99,California,65.99,1
El Dorado Hills,2931,Faye Hanna,Small Business,0,William,Low,2013,Qtr 1,March,29,1,Office Supplies,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,-520.55,WEST,525.05,2013,Qtr 1,March,30,Delivery Truck,60,California,68.81,1
El Mirage,200,Martha Pridgen,Home Office,0.05,William,Low,2012,Qtr 1,January,27,1,Technology,Small Pack,Accessory15,Telephones and Communication,-69.35940000000001,WEST,91.78,2012,Qtr 1,January,29,Regular Air,0.99,Arizona,20.99,1
El Mirage,200,Martha Pridgen,Home Office,0.05,William,Low,2013,Qtr 1,March,18,1,Office Supplies,Jumbo Drum,"Tennsco Lockers, Gray",Storage & Organization,-815.79,WEST,120.36,2013,Qtr 1,March,20,Delivery Truck,53.03,Arizona,20.98,1
El Mirage,200,Martha Pridgen,Home Office,0.02,William,Low,2013,Qtr 3,September,2,1,Office Supplies,Small Box,"Peel & Seel® Recycled Catalog Envelopes, Brown",Envelopes,-10.7548,WEST,27.19,2013,Qtr 3,September,3,Regular Air,5.72,Arizona,11.58,1
El Mirage,200,Martha Pridgen,Home Office,0,William,Low,2013,Qtr 3,September,2,1,Office Supplies,Small Box,Xerox 1979,Paper,134.11440000000002,WEST,262.13,2013,Qtr 3,September,4,Regular Air,8.74,Arizona,30.98,1
El Mirage,3324,Leslie Jacobson,Consumer,0.05,William,Low,2010,Qtr 1,February,12,1,Office Supplies,Small Box,Xerox 217,Paper,-164.18,WEST,58.5,2010,Qtr 1,February,15,Regular Air,8.19,Arizona,6.48,1
El Mirage,3324,Leslie Jacobson,Consumer,0.01,William,Low,2011,Qtr 2,April,7,1,Technology,Wrap Bag,Accessory25,Telephones and Communication,127.9674,WEST,185.46,2011,Qtr 2,April,11,Regular Air,0.99,Arizona,20.99,1
El Mirage,3324,Leslie Jacobson,Consumer,0.01,William,Low,2012,Qtr 1,February,6,1,Office Supplies,Small Box,Xerox 1885,Paper,247.19249999999997,WEST,358.25,2012,Qtr 1,February,11,Regular Air,7.23,Arizona,48.04,1
Elizabeth,421,Scott Feldman,Small Business,0.09,Erin,Low,2010,Qtr 1,February,6,1,Technology,Medium Box,"Polycom Soundstation EX Audio-Conferencing Telephone, Black",Office Machines,-2531.4825,EAST,919.09,2010,Qtr 1,February,8,Regular Air,13.99,New Jersey,999.99,1
Elizabeth,904,Rebecca Morrow,Consumer,0.09,Erin,Low,2013,Qtr 1,January,10,1,Office Supplies,Jumbo Drum,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Storage & Organization,72.24559999999997,EAST,3640.52,2013,Qtr 1,January,12,Delivery Truck,99,New Jersey,370.98,1
Elmira,1497,Gloria Jacobs,Corporate,0.09,Erin,Low,2010,Qtr 3,September,11,1,Furniture,Small Box,"Eldon® 200 Class™ Desk Accessories, Burgundy",Office Furnishings,-10.09,EAST,14.08,2010,Qtr 3,September,12,Regular Air,5.29,New York,6.28,1
Elmira,1497,Gloria Jacobs,Corporate,0.03,Erin,Low,2010,Qtr 3,September,11,1,Office Supplies,Small Box,Eldon® Gobal File Keepers,Storage & Organization,-92.87,EAST,256.73,2010,Qtr 3,September,13,Regular Air,4.53,New York,15.14,1
Elmira,1497,Gloria Jacobs,Home Office,0.08,Erin,Low,2011,Qtr 4,December,20,1,Furniture,Jumbo Box,Bretford CR8500 Series Meeting Room Furniture,Tables,-484.52418300000005,EAST,4619.35,2011,Qtr 4,December,22,Delivery Truck,42.52,New York,400.98,1
Elmira,1497,Gloria Jacobs,Home Office,0,Erin,Low,2011,Qtr 4,December,20,1,Office Supplies,Large Box,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Storage & Organization,-111.085,EAST,3595.86,2011,Qtr 4,December,23,Regular Air,35,New York,167.27,1
Elmira,1497,Gloria Jacobs,Home Office,0.01,Erin,Low,2011,Qtr 4,December,20,1,Technology,Small Box,ELITE Series,Telephones and Communication,1829.9559,EAST,2652.11,2011,Qtr 4,December,23,Regular Air,2.79,New York,205.99,1
Elmira,1497,Gloria Jacobs,Home Office,0.01,Erin,Low,2013,Qtr 1,January,23,1,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,-265.54972,EAST,76.07,2013,Qtr 1,January,30,Express Air,7.57,New York,5.38,1
Elmira,1497,Gloria Jacobs,Home Office,0.03,Erin,Low,2013,Qtr 1,February,8,1,Office Supplies,Small Box,"GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack",Binders and Binder Accessories,-254.13850000000002,EAST,159.85,2013,Qtr 1,February,9,Regular Air,15.09,New York,15.16,1
Elmwood Park,1164,Glenn Burnette,Corporate,0.02,Erin,Low,2013,Qtr 2,April,10,1,Furniture,Small Box,Regeneration Desk Collection,Office Furnishings,-83.54,EAST,16.43,2013,Qtr 2,April,11,Express Air,4.86,New Jersey,1.76,1
Elmwood Park,1200,Beth English,Consumer,0.05,Erin,Low,2010,Qtr 3,August,25,1,Office Supplies,Small Box,Ibico Laser Imprintable Binding System Covers,Binders and Binder Accessories,776.7743999999999,EAST,1125.76,2010,Qtr 3,August,27,Regular Air,16.11,New Jersey,52.4,1
Encinitas,3017,Melvin Benton,Corporate,0.01,William,Low,2010,Qtr 3,July,9,1,Office Supplies,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,Envelopes,-7.25,WEST,11.16,2010,Qtr 3,July,10,Regular Air,5.3,California,5.58,1
Encinitas,3017,Melvin Benton,Corporate,0.03,William,Low,2010,Qtr 3,July,9,1,Office Supplies,Wrap Bag,4009® Highlighters by Sanford,Pens & Art Supplies,31.201799999999995,WEST,45.22,2010,Qtr 3,July,10,Regular Air,0.7,California,3.98,1
Encinitas,3017,Melvin Benton,Corporate,0.04,William,Low,2011,Qtr 2,June,25,1,Office Supplies,Small Box,Binder Posts,Binders and Binder Accessories,-16.0816,WEST,19.17,2011,Qtr 2,June,26,Regular Air,5.01,California,5.74,1
Encinitas,3017,Melvin Benton,Corporate,0.06,William,Low,2011,Qtr 2,June,25,1,Office Supplies,Small Box,Storex DuraTech Recycled Plastic Frosted Binders,Binders and Binder Accessories,-57.47239999999999,WEST,34.58,2011,Qtr 2,June,26,Regular Air,5.41,California,4.24,1
Encinitas,3017,Melvin Benton,Corporate,0.02,William,Low,2013,Qtr 2,June,24,1,Technology,Small Box,StarTAC 7760,Telephones and Communication,682.7205,WEST,989.45,2013,Qtr 2,June,26,Regular Air,3.99,California,65.99,1
Englewood,2516,Leo E Underwood,Home Office,0.02,Erin,Low,2010,Qtr 4,December,5,1,Office Supplies,Small Box,Advantus Rolling Storage Box,Storage & Organization,36.495,EAST,190.85,2010,Qtr 4,December,7,Regular Air,4.96,New Jersey,17.15,1
Englewood,3313,Frances Boykin,Small Business,0.01,Erin,Low,2013,Qtr 3,August,20,1,Office Supplies,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,-211.79224,EAST,780.77,2013,Qtr 3,August,22,Delivery Truck,60,New Jersey,68.81,1
Escondido,3200,Mary O Rich,Consumer,0,William,Low,2012,Qtr 1,January,22,1,Office Supplies,Small Box,Avery 506,Labels,2.09,WEST,4.31,2012,Qtr 1,January,24,Regular Air,0.5,California,4.13,1
Escondido,3200,Mary O Rich,Consumer,0.03,William,Low,2012,Qtr 1,January,22,1,Office Supplies,Small Box,"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Appliances,377.4852,WEST,547.08,2012,Qtr 1,January,24,Express Air,4.5,California,48.92,1
Escondido,3200,Mary O Rich,Consumer,0.1,William,Low,2012,Qtr 1,January,22,1,Office Supplies,Wrap Bag,"Sanford Colorific Colored Pencils, 12/Box",Pens & Art Supplies,-1.8476,WEST,32.32,2012,Qtr 1,January,24,Regular Air,1.01,California,2.88,1
Escondido,3200,Mary O Rich,Consumer,0.04,William,Low,2012,Qtr 1,February,21,1,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,-138.02,WEST,341.97,2012,Qtr 1,February,27,Express Air,13.99,California,28.28,1
Escondido,3200,Mary O Rich,Consumer,0.06,William,Low,2013,Qtr 1,March,10,1,Furniture,Small Pack,DAX Wood Document Frame,Office Furnishings,12.2,WEST,42.58,2013,Qtr 1,March,12,Regular Air,8.99,California,13.73,1
Escondido,3200,Mary O Rich,Consumer,0.01,William,Low,2013,Qtr 1,March,15,1,Office Supplies,Wrap Bag,Staples Gold Paper Clips,Rubber Bands,8.88,WEST,25.65,2013,Qtr 1,March,16,Regular Air,1.58,California,2.98,1
Eureka,3201,Benjamin McGee,Consumer,0.09,William,Low,2011,Qtr 2,April,27,1,Office Supplies,Small Box,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Binders and Binder Accessories,113.76719999999999,WEST,164.88,2011,Qtr 2,April,28,Regular Air,2.99,California,41.94,1
Eureka,3201,Benjamin McGee,Consumer,0.09,William,Low,2011,Qtr 2,June,6,1,Technology,Small Box,T39m,Telephones and Communication,1298.7662999999998,WEST,1882.27,2011,Qtr 2,June,8,Regular Air,3.9,California,155.99,1
Eureka,3201,Benjamin McGee,Consumer,0.02,William,Low,2013,Qtr 1,March,15,1,Technology,Small Box,PC Concepts 116 Key Quantum 3000 Keyboard,Computer Peripherals,51.98,WEST,440.87,2013,Qtr 1,March,17,Express Air,5.5,California,32.98,1
Eureka,3201,Benjamin McGee,Consumer,0.05,William,Low,2013,Qtr 2,June,11,1,Office Supplies,Small Box,Computer Printout Paper with Letter-Trim Perforations,Paper,-15.919999999999998,WEST,34.09,2013,Qtr 2,June,11,Express Air,9.03,California,18.97,1
Eureka,3264,Becky Puckett,Corporate,0.04,William,Low,2010,Qtr 2,May,19,1,Office Supplies,Small Box,Hammermill Color Copier Paper (28Lb. and 96 Bright),Paper,-92.32,WEST,52.09,2010,Qtr 2,May,21,Regular Air,11.59,California,9.99,1
Ewing,108,Fred Sharma,Consumer,0.04,Erin,Low,2011,Qtr 2,June,29,1,Office Supplies,Wrap Bag,"Adams Phone Message Book, 200 Message Capacity, 8 1/16” x 11”",Paper,81.0957,EAST,117.53,2011,Qtr 3,July,1,Regular Air,2,New Jersey,6.88,1
Ewing,969,Joel Abrams,Consumer,0,Erin,Low,2011,Qtr 2,May,15,1,Furniture,Medium Box,36X48 HARDFLOOR CHAIRMAT,Office Furnishings,-632.16,EAST,389.46,2011,Qtr 2,May,15,Regular Air,21.2,New Jersey,20.98,1
Fair Lawn,332,Rhonda Cummings,Home Office,0.05,Erin,Low,2012,Qtr 4,October,25,1,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,607.2552,EAST,1066.68,2012,Qtr 4,October,27,Regular Air,3.99,New Jersey,59.98,1
Fair Lawn,2236,Victoria Field,Consumer,0.08,Erin,Low,2011,Qtr 1,February,13,1,Office Supplies,Small Box,Xerox 212,Paper,-165.48,EAST,57.96,2011,Qtr 1,February,15,Regular Air,8.4,New Jersey,6.48,1
Fairfield,3265,Glenn Morgan,Corporate,0.02,William,Low,2011,Qtr 2,May,25,1,Office Supplies,Small Box,Xerox 1991,Paper,89.6,WEST,204.52,2011,Qtr 2,May,27,Regular Air,8.18,California,22.84,1
Fairfield,3265,Glenn Morgan,Corporate,0.02,William,Low,2013,Qtr 4,November,8,1,Office Supplies,Small Box,Avery Printable Repositionable Plastic Tabs,Binders and Binder Accessories,16.445552000000006,WEST,186.18,2013,Qtr 4,November,10,Regular Air,6.19,California,8.6,1
Fairfield,3265,Glenn Morgan,Corporate,0.06,William,Low,2013,Qtr 4,December,30,1,Furniture,Jumbo Drum,Novimex Fabric Task Chair,Chairs & Chairmats,-56.09855999999999,WEST,195.56,2013,Qtr 4,December,30,Delivery Truck,30,California,60.98,1
Fairfield,3265,Glenn Morgan,Corporate,0.1,William,Low,2013,Qtr 4,December,30,1,Office Supplies,Small Box,"Tenex Personal Project File with Scoop Front Design, Black",Storage & Organization,-5.063519999999999,WEST,230.45,2013,Qtr 4,December,30,Express Air,4.51,California,13.48,1
Fairfield,3388,Aaron Shaffer,Corporate,0.03,William,Low,2010,Qtr 4,November,11,1,Office Supplies,Large Box,Safco Industrial Wire Shelving,Storage & Organization,67.01200000000006,WEST,894.64,2010,Qtr 4,November,12,Regular Air,35,California,95.99,1
Fairfield,3388,Aaron Shaffer,Corporate,0,William,Low,2011,Qtr 1,January,7,1,Office Supplies,Wrap Bag,Crayola Colored Pencils,Pens & Art Supplies,26.3568,WEST,39.85,2011,Qtr 1,January,12,Express Air,0.98,California,3.28,1
Fairfield,3388,Aaron Shaffer,Corporate,0.04,William,Low,2012,Qtr 3,August,18,1,Office Supplies,Small Box,3M Organizer Strips,Binders and Binder Accessories,-29.278080000000003,WEST,29.81,2012,Qtr 3,August,20,Regular Air,7.78,California,5.4,1
Flagstaff,268,James Beck,Home Office,0.03,William,Low,2010,Qtr 2,April,7,1,Furniture,Small Box,Eldon Executive Woodline II Cherry Finish Desk Accessories,Office Furnishings,78.98,WEST,210.77,2010,Qtr 2,April,14,Regular Air,18.98,Arizona,40.89,1
Flagstaff,268,James Beck,Home Office,0.02,William,Low,2010,Qtr 2,April,7,1,Office Supplies,Small Box,Staples Brown Kraft Recycled Clasp Envelopes,Envelopes,-22.48,WEST,18.67,2010,Qtr 2,April,12,Regular Air,5.3,Arizona,5.58,1
Fords,1399,Lloyd Rich,Corporate,0.03,Erin,Low,2012,Qtr 3,July,27,1,Technology,Jumbo Drum,Lexmark Z54se Color Inkjet Printer,Office Machines,235.4,EAST,371.39,2012,Qtr 3,July,28,Delivery Truck,14,New Jersey,90.97,1
Fords,2613,Anthony Stanley,Corporate,0.02,Erin,Low,2010,Qtr 3,July,24,1,Office Supplies,Small Box,Eureka The Boss® Cordless Rechargeable Stick Vac,Appliances,-25.76,EAST,68.45,2010,Qtr 3,July,24,Express Air,13.66,New Jersey,50.98,1
Fort Lauderdale,2145,Kerry Hardy,Corporate,0,Sam,Low,2010,Qtr 1,February,10,1,Furniture,Small Box,"Career Cubicle Clock, 8 1/4"", Black",Office Furnishings,15.677999999999999,SOUTH,237.83,2010,Qtr 1,February,12,Regular Air,14.39,Florida,20.28,1
Fort Lauderdale,2358,Danielle Baird,Corporate,0.1,Sam,Low,2010,Qtr 1,March,4,1,Technology,Small Box,TimeportP7382,Telephones and Communication,147,SOUTH,324.62,2010,Qtr 1,March,8,Regular Air,8.99,Florida,205.99,1
Fort Lauderdale,2358,Danielle Baird,Home Office,0.05,Sam,Low,2010,Qtr 3,August,14,1,Office Supplies,Small Pack,Kleencut® Forged Office Shears by Acme United Corporation,"Scissors, Rulers and Trimmers",-1045.016,SOUTH,40.93,2010,Qtr 3,August,16,Regular Air,2.56,Florida,2.08,1
Fort Lauderdale,2358,Danielle Baird,Home Office,0.06,Sam,Low,2012,Qtr 1,January,7,1,Furniture,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,7.092,SOUTH,1316.95,2012,Qtr 1,January,10,Delivery Truck,70.2,Florida,122.99,1
Fort Lauderdale,2358,Danielle Baird,Home Office,0.02,Sam,Low,2012,Qtr 1,January,7,1,Office Supplies,Small Pack,Panasonic KP-310 Heavy-Duty Electric Pencil Sharpener,Pens & Art Supplies,463.22399999999993,SOUTH,44.47,2012,Qtr 1,January,8,Regular Air,2.87,Florida,21.98,1
Fort Lauderdale,2358,Danielle Baird,Home Office,0.04,Sam,Low,2012,Qtr 1,March,13,1,Office Supplies,Jumbo Drum,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Appliances,-31.57,SOUTH,438.13,2012,Qtr 1,March,17,Delivery Truck,60,Florida,68.81,1
Fort Lauderdale,2358,Danielle Baird,Home Office,0.05,Sam,Low,2012,Qtr 1,March,13,1,Technology,Small Box,CF 888,Telephones and Communication,140.28,SOUTH,1902.78,2012,Qtr 1,March,18,Express Air,3.99,Florida,195.99,1
Fort Lee,171,Christina Matthews,Corporate,0.05,Erin,Low,2010,Qtr 2,April,13,1,Office Supplies,Small Box,Staples® General Use 3-Ring Binders,Binders and Binder Accessories,-2.9094999999999995,EAST,3.42,2010,Qtr 2,April,15,Regular Air,1.49,New Jersey,1.88,1
Fort Lee,3314,Billy Hale,Small Business,0.05,Erin,Low,2010,Qtr 3,July,26,1,Furniture,Jumbo Drum,"Global High-Back Leather Tilter, Burgundy",Chairs & Chairmats,-722.23,EAST,498.31,2010,Qtr 3,July,30,Delivery Truck,70.2,New Jersey,122.99,1
Fort Myers,2359,Annie Horne,Corporate,0.07,Sam,Low,2011,Qtr 3,August,13,1,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,315.09,SOUTH,20.94,2011,Qtr 3,August,15,Regular Air,0.7,Florida,1.76,1
Fort Myers,2359,Annie Horne,Corporate,0.02,Sam,Low,2011,Qtr 3,August,13,1,Technology,Small Pack,Accessory39,Telephones and Communication,92.91,SOUTH,72.58,2011,Qtr 3,August,14,Regular Air,3.3,Florida,20.99,1
Fort Myers,2359,Annie Horne,Home Office,0,Sam,Low,2010,Qtr 1,February,5,1,Office Supplies,Wrap Bag,"Post-it® “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad",Paper,167.16000000000003,SOUTH,53.42,2010,Qtr 1,February,5,Regular Air,1.77,Florida,7.28,1
Fort Myers,2359,Annie Horne,Home Office,0.03,Sam,Low,2013,Qtr 4,December,10,1,Office Supplies,Large Box,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Appliances,1.1219999999999999,SOUTH,1767.28,2013,Qtr 4,December,12,Regular Air,24.49,Florida,300.65,1
Fort Myers,2359,Annie Horne,Home Office,0.1,Sam,Low,2013,Qtr 4,December,10,1,Office Supplies,Small Box,Xerox 1961,Paper,240.414,SOUTH,77.64,2013,Qtr 4,December,12,Regular Air,7.54,Florida,4.98,1
Fort Pierce,2360,Troy Hendrix,Corporate,0.09,Sam,Low,2012,Qtr 1,January,15,1,Furniture,Jumbo Box,"Chromcraft Bull-Nose Wood 48"" x 96"" Rectangular Conference Tables",Tables,23.424,SOUTH,1625.62,2012,Qtr 1,January,17,Delivery Truck,64.59,Florida,550.98,1
Fort Pierce,2360,Troy Hendrix,Corporate,0.01,Sam,Low,2012,Qtr 1,January,15,1,Office Supplies,Small Box,GBC Standard Therm-A-Bind Covers,Binders and Binder Accessories,176.634,SOUTH,250.22,2012,Qtr 1,January,17,Regular Air,12.98,Florida,24.92,1
Fort Pierce,2360,Troy Hendrix,Corporate,0.08,Sam,Low,2012,Qtr 1,January,15,1,Office Supplies,Small Box,"Wilson Jones Hanging View Binder, White, 1""",Binders and Binder Accessories,-14.56,SOUTH,79.67,2012,Qtr 1,January,17,Express Air,6.05,Florida,7.1,1
Fort Pierce,2360,Troy Hendrix,Home Office,0.03,Sam,Low,2011,Qtr 1,March,7,1,Technology,Small Pack,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Computer Peripherals,119.55,SOUTH,77.69,2011,Qtr 1,March,8,Regular Air,3.62,Florida,8.46,1
Fort Pierce,2360,Troy Hendrix,Home Office,0.05,Sam,Low,2012,Qtr 4,October,17,1,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,8.478,SOUTH,2173.49,2012,Qtr 4,October,19,Delivery Truck,35.84,Florida,100.98,1
Fort Pierce,2360,Troy Hendrix,Home Office,0.03,Sam,Low,2013,Qtr 2,April,27,1,Office Supplies,Wrap Bag,Newell 325,Pens & Art Supplies,154.80599999999998,SOUTH,53.96,2013,Qtr 2,April,29,Regular Air,1.23,Florida,4.13,1
Fort Pierce,2360,Troy Hendrix,Home Office,0.06,Sam,Low,2013,Qtr 2,April,27,1,Office Supplies,Wrap Bag,Newell 35,Pens & Art Supplies,6.186,SOUTH,4.33,2013,Qtr 2,April,28,Regular Air,5,Florida,3.28,1
Foster City,313,Ruth Stout,Corporate,0.09,William,High,2013,Qtr 3,August,7,1,Technology,Jumbo Drum,Okidata ML591 Wide Format Dot Matrix Printer,Office Machines,7628.0328,WEST,11055.12,2013,Qtr 3,August,9,Delivery Truck,16.06,California,810.98,1
Foster City,313,Ruth Stout,Corporate,0.01,William,Low,2011,Qtr 3,July,21,1,Office Supplies,Wrap Bag,"Snap-A-Way® Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,156.4989,WEST,226.81,2011,Qtr 3,July,26,Regular Air,5.08,California,37.94,1
Foster City,313,Ruth Stout,Corporate,0.05,William,Low,2011,Qtr 3,September,10,1,Furniture,Jumbo Drum,Hon 4070 Series Pagoda™ Round Back Stacking Chairs,Chairs & Chairmats,803.48,WEST,3076.1,2011,Qtr 3,September,11,Delivery Truck,58.95,California,320.98,1
Foster City,313,Ruth Stout,Corporate,0.05,William,Low,2013,Qtr 1,March,3,1,Office Supplies,Small Box,Avery Hole Reinforcements,Binders and Binder Accessories,-74.43950000000001,WEST,33.62,2013,Qtr 1,March,5,Regular Air,6.97,California,6.23,1
